epoch,train_loss,val_loss,precision,recall,map50,map
0,9.329745292663574,,0.0,0.0,0.0,0.0
1,10.067732810974121,,0.76473,0.63275,0.67761,0.50297
2,9.945624351501465,,0.73637,0.64885,0.67579,0.50344
3,10.637622833251953,,0.74364,0.65851,0.67828,0.51062
4,9.52987289428711,,0.7661,0.65857,0.6956,0.52186
5,9.16607666015625,,0.75755,0.65773,0.6934,0.5199
6,9.268444061279297,,0.70436,0.66513,0.69619,0.5213
7,9.694145202636719,,0.78043,0.65401,0.70009,0.52119
8,11.742574691772461,,0.71869,0.6592,0.71112,0.52953
9,8.589792251586914,,0.78067,0.67521,0.70817,0.53009
10,7.791438579559326,,0.73725,0.64321,0.6969,0.5238
11,10.672842025756836,,0.76721,0.68084,0.71116,0.53675
12,8.594168663024902,,0.72078,0.66724,0.70545,0.53465
13,11.84450912475586,,0.77466,0.67546,0.70867,0.53302
14,12.240306854248047,,0.70675,0.67396,0.70671,0.52954
15,10.854228019714355,,0.7955,0.68074,0.71817,0.54251
16,7.485450744628906,,0.73504,0.67371,0.71669,0.54469
17,8.077543258666992,,0.72496,0.6704,0.71174,0.53871
18,8.233038902282715,,0.72286,0.67765,0.7167,0.54314
19,7.708372592926025,,0.74414,0.66138,0.70894,0.53863
20,9.75975227355957,,0.77489,0.67283,0.70953,0.53488
21,8.639486312866211,,0.72375,0.67948,0.71808,0.54507
22,7.876006603240967,,0.7586,0.69579,0.71293,0.5417
23,9.895238876342773,,0.78078,0.67218,0.70941,0.54156
24,11.020210266113281,,0.79761,0.6743,0.72554,0.55104
25,9.380577087402344,,0.77867,0.68615,0.72539,0.55136
26,9.277532577514648,,0.77985,0.68412,0.72326,0.55
27,10.258646011352539,,0.7692,0.68405,0.72602,0.55491
28,8.450000762939453,,0.7856,0.66276,0.72313,0.54981
29,9.350828170776367,,0.71271,0.70667,0.7226,0.55118
30,9.417856216430664,,0.74465,0.6944,0.729,0.55391
31,7.628512382507324,,0.75435,0.69496,0.72782,0.55624
32,8.778972625732422,,0.78353,0.6885,0.72786,0.55561
33,8.67257308959961,,0.76053,0.67049,0.72655,0.55562
34,10.057174682617188,,0.76414,0.68435,0.73211,0.56164
35,11.634389877319336,,0.74267,0.67337,0.72552,0.55639
36,7.917957782745361,,0.75415,0.68268,0.72375,0.55578
37,9.547980308532715,,0.7443,0.67991,0.72686,0.55648
38,8.518782615661621,,0.74559,0.69385,0.72764,0.55826
39,8.935126304626465,,0.77753,0.69581,0.73167,0.56239
40,7.796392440795898,,0.79422,0.67774,0.73358,0.56483
41,10.197466850280762,,0.75136,0.6855,0.72758,0.55829
42,11.291211128234863,,0.78627,0.68738,0.73432,0.56356
43,11.365527153015137,,0.77523,0.70109,0.7371,0.56465
44,8.628438949584961,,0.73,0.72028,0.73665,0.56498
45,9.210609436035156,,0.74873,0.70247,0.73702,0.56515
46,9.682321548461914,,0.72873,0.72053,0.73674,0.5641
47,9.427759170532227,,0.77206,0.69209,0.73895,0.567
48,8.804130554199219,,0.76789,0.69547,0.7425,0.56918
49,13.624191284179688,,0.76575,0.69245,0.74048,0.56747
