epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.525,1.02142,1.41913,1.29603,0.76473,0.63275,0.67761,0.50297,1.06801,1.10214,1.40789,0.000166541,0.000166541,0.000166541
2,382.773,0.99857,0.8506,1.27073,0.73637,0.64885,0.67579,0.50344,1.06999,1.12077,1.38985,0.00032661,0.00032661,0.00032661
3,566.313,0.99507,0.81118,1.26715,0.74364,0.65851,0.67828,0.51062,1.0571,1.0629,1.37715,0.000480079,0.000480079,0.000480079
4,749.779,0.99174,0.78415,1.25745,0.7661,0.65857,0.6956,0.52186,1.06407,1.07796,1.37259,0.0004703,0.0004703,0.0004703
5,932.824,0.97926,0.7714,1.24389,0.75755,0.65773,0.6934,0.5199,1.05852,1.06039,1.36935,0.0004604,0.0004604,0.0004604
6,1114.95,0.98209,0.76946,1.2524,0.70436,0.66513,0.69619,0.5213,1.05214,1.00933,1.36992,0.0004505,0.0004505,0.0004505
7,1298.23,0.97009,0.74987,1.23885,0.78043,0.65401,0.70009,0.52119,1.0532,1.07453,1.38333,0.0004406,0.0004406,0.0004406
8,1480.53,0.97648,0.75496,1.23971,0.71869,0.6592,0.71112,0.52953,1.04775,1.01231,1.3536,0.0004307,0.0004307,0.0004307
9,1663.5,0.96422,0.73368,1.23637,0.78067,0.67521,0.70817,0.53009,1.0588,1.02917,1.35932,0.0004208,0.0004208,0.0004208
10,1845.26,0.95844,0.7225,1.23937,0.73725,0.64321,0.6969,0.5238,1.04693,1.04102,1.35979,0.0004109,0.0004109,0.0004109
11,2029.69,0.9571,0.7251,1.23515,0.76721,0.68084,0.71116,0.53675,1.04117,0.99223,1.34555,0.000401,0.000401,0.000401
12,2212.65,0.95678,0.72035,1.23067,0.72078,0.66724,0.70545,0.53465,1.03279,1.03419,1.35698,0.0003911,0.0003911,0.0003911
13,2395.09,0.94574,0.70731,1.22702,0.77466,0.67546,0.70867,0.53302,1.03831,1.03548,1.35552,0.0003812,0.0003812,0.0003812
14,2577.94,0.95042,0.70769,1.22219,0.70675,0.67396,0.70671,0.52954,1.03864,0.99568,1.34795,0.0003713,0.0003713,0.0003713
15,2759.38,0.93702,0.69912,1.23032,0.7955,0.68074,0.71817,0.54251,1.02869,1.02344,1.34446,0.0003614,0.0003614,0.0003614
16,2941.96,0.94033,0.69451,1.22482,0.73504,0.67371,0.71669,0.54469,1.03443,0.98707,1.3445,0.0003515,0.0003515,0.0003515
17,3125.2,0.93551,0.69007,1.21703,0.72496,0.6704,0.71174,0.53871,1.02805,0.99617,1.34994,0.0003416,0.0003416,0.0003416
18,3308.36,0.94129,0.69509,1.22265,0.72286,0.67765,0.7167,0.54314,1.03014,0.98199,1.35504,0.0003317,0.0003317,0.0003317
19,3489.59,0.9355,0.68819,1.21725,0.74414,0.66138,0.70894,0.53863,1.03376,0.99849,1.34833,0.0003218,0.0003218,0.0003218
20,3671.71,0.92936,0.68234,1.21599,0.77489,0.67283,0.70953,0.53488,1.03336,0.98682,1.3458,0.0003119,0.0003119,0.0003119
21,3854.76,0.93328,0.67801,1.20845,0.72375,0.67948,0.71808,0.54507,1.02638,0.98294,1.34335,0.000302,0.000302,0.000302
22,4037.81,0.92875,0.68079,1.21391,0.7586,0.69579,0.71293,0.5417,1.02301,0.98801,1.34579,0.0002921,0.0002921,0.0002921
23,4219.93,0.92954,0.67593,1.20779,0.78078,0.67218,0.70941,0.54156,1.02428,0.97767,1.34235,0.0002822,0.0002822,0.0002822
24,4402.45,0.92642,0.67613,1.21142,0.79761,0.6743,0.72554,0.55104,1.01794,0.97274,1.33812,0.0002723,0.0002723,0.0002723
25,4584.59,0.91325,0.66548,1.21141,0.77867,0.68615,0.72539,0.55136,1.02579,0.97018,1.34637,0.0002624,0.0002624,0.0002624
26,4766.84,0.92224,0.6688,1.20651,0.77985,0.68412,0.72326,0.55,1.02506,0.97203,1.34495,0.0002525,0.0002525,0.0002525
27,4948.27,0.91775,0.65917,1.20219,0.7692,0.68405,0.72602,0.55491,1.01912,0.97748,1.33918,0.0002426,0.0002426,0.0002426
28,5130.06,0.90867,0.65352,1.1998,0.7856,0.66276,0.72313,0.54981,1.02095,0.96866,1.33756,0.0002327,0.0002327,0.0002327
29,5312.89,0.91768,0.66052,1.20195,0.71271,0.70667,0.7226,0.55118,1.01732,0.97246,1.33549,0.0002228,0.0002228,0.0002228
30,5493.39,0.90988,0.65755,1.19775,0.74465,0.6944,0.729,0.55391,1.01609,0.96181,1.33707,0.0002129,0.0002129,0.0002129
31,5673.72,0.91234,0.65407,1.19608,0.75435,0.69496,0.72782,0.55624,1.0192,0.97064,1.33646,0.000203,0.000203,0.000203
32,5856.02,0.90413,0.64573,1.20038,0.78353,0.6885,0.72786,0.55561,1.01232,0.96194,1.33755,0.0001931,0.0001931,0.0001931
33,6037.9,0.90207,0.64511,1.18645,0.76053,0.67049,0.72655,0.55562,1.01193,0.95853,1.33321,0.0001832,0.0001832,0.0001832
34,6218.47,0.90041,0.64414,1.1932,0.76414,0.68435,0.73211,0.56164,1.0096,0.96644,1.33388,0.0001733,0.0001733,0.0001733
35,6399.31,0.89078,0.63312,1.19119,0.74267,0.67337,0.72552,0.55639,1.01341,0.97364,1.33354,0.0001634,0.0001634,0.0001634
36,6580.99,0.89684,0.63789,1.19163,0.75415,0.68268,0.72375,0.55578,1.0106,0.96321,1.33466,0.0001535,0.0001535,0.0001535
37,6763.16,0.89772,0.63982,1.1895,0.7443,0.67991,0.72686,0.55648,1.01367,0.96281,1.33365,0.0001436,0.0001436,0.0001436
38,6944.3,0.89503,0.63684,1.19603,0.74559,0.69385,0.72764,0.55826,1.01187,0.96411,1.3316,0.0001337,0.0001337,0.0001337
39,7125.54,0.89094,0.63182,1.18763,0.77753,0.69581,0.73167,0.56239,1.01145,0.9676,1.33178,0.0001238,0.0001238,0.0001238
40,7307.67,0.89001,0.63061,1.19092,0.79422,0.67774,0.73358,0.56483,1.00891,0.9617,1.3299,0.0001139,0.0001139,0.0001139
41,7489.46,0.87918,0.63231,1.20359,0.75136,0.6855,0.72758,0.55829,1.00961,0.95167,1.32992,0.000104,0.000104,0.000104
42,7663.29,0.87634,0.62684,1.20615,0.78627,0.68738,0.73432,0.56356,1.01083,0.95227,1.33055,9.41e-05,9.41e-05,9.41e-05
43,7836.93,0.87319,0.62351,1.2076,0.77523,0.70109,0.7371,0.56465,1.01015,0.95437,1.32983,8.42e-05,8.42e-05,8.42e-05
44,8010.81,0.87406,0.62153,1.19948,0.73,0.72028,0.73665,0.56498,1.00706,0.95412,1.32449,7.43e-05,7.43e-05,7.43e-05
45,8184.14,0.86738,0.61769,1.19548,0.74873,0.70247,0.73702,0.56515,1.00736,0.95299,1.32945,6.44e-05,6.44e-05,6.44e-05
46,8360.94,0.87567,0.62234,1.19997,0.72873,0.72053,0.73674,0.5641,1.00815,0.95708,1.32836,5.45e-05,5.45e-05,5.45e-05
47,8535.85,0.86801,0.61375,1.1985,0.77206,0.69209,0.73895,0.567,1.0081,0.95199,1.32812,4.46e-05,4.46e-05,4.46e-05
48,8711.11,0.86591,0.61456,1.19456,0.76789,0.69547,0.7425,0.56918,1.00945,0.95299,1.3283,3.47e-05,3.47e-05,3.47e-05
49,8885.82,0.86702,0.61308,1.19212,0.76575,0.69245,0.74048,0.56747,1.00932,0.9532,1.32776,2.48e-05,2.48e-05,2.48e-05
50,9060.21,0.86166,0.60526,1.19442,0.76177,0.69646,0.73972,0.56803,1.00735,0.94697,1.32729,1.49e-05,1.49e-05,1.49e-05
